yt_url,check_date,is_posted_in_date_range
https://www.youtube.com/channel/UCVihezVtsguXEouYvtKmKYA,16-05-2024,No short Videos
https://www.youtube.com/channel/UChujSwamapGTw6iO9RlRWqA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCTbRLBjn3NXVVQTBFjr390A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCmJHtwNbypraJWj5vmP6gyQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCq2Ld6DYPkq_61vKvL7EFiw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCsomvq0tNOhYz4hpFwxW6yw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCPCbooqdM2t6XYTfl81orOg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCV5NIosHT4ykhN9tdke5dFQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCxvdCnvGODDyuvnELnLkQWw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1LlDNVZRhF2qEVlHsfKaIA,16-05-2024,No short Videos
https://www.youtube.com/channel/UChWlCHFdr2PyjRlpV80gfgA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCNK0-1KNIwowKzZu6tSjqsw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFOixeB9gbedVi6uwnsfHMQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC8BPPaTQsHIH3L0TGyKxjTw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCNZQH5gqyNf0gm8DkTRfkLA,16-05-2024,No short Videos
